工作編號,合約期間,第1年調薪,第2年調薪,第3年調薪,生活津貼調整,每週工時,退休金規劃,待命薪資,工作轉換補助,允許進修,法定假日,帶薪年假,殘廢補助,牙醫補助,喪事補助,健保補助,cluster
1,2,3.5,4,?,沒有,40,?,?,2,否,10,很少,無,半額,?,半額,cluster1
2,1,2.1,?,?,tc,40,ret_allw,2,3,否,9,很少,有,半額,?,無,cluster1
3,1,2,?,?,沒有,38,沒有,?,?,是,11,平均,無,無,無,無,cluster1
4,3,2,2,2,沒有,40,沒有,?,?,?,10,很少,?,半額,有,全額,cluster3
5,3,2,2.5,?,?,35,沒有,?,?,?,10,平均,?,?,有,全額,cluster3
6,3,3,2,2.5,tc,40,沒有,?,5,否,10,很少,有,半額,有,全額,cluster3
7,2,2.5,2.5,?,?,38,老闆控制,?,?,?,10,平均,?,?,?,?,cluster3
8,2,4,5,?,沒有,40,沒有,?,3,否,10,很少,無,無,?,無,cluster1
9,3,2,2.5,2.1,tc,40,沒有,2,1,否,10,很少,無,半額,有,全額,cluster1
10,1,2,?,?,tc,40,ret_allw,4,0,否,11,很多,無,無,無,無,cluster1
11,1,2.8,?,?,沒有,38,老闆控制,2,3,否,9,很少,有,半額,?,無,cluster1
12,3,2,2.5,2,?,37,老闆控制,?,?,?,10,平均,?,?,有,無,cluster3
13,2,2,3,?,沒有,38,老闆控制,?,?,是,12,很多,有,無,有,全額,cluster2
14,2,2.5,3,?,tcf,40,沒有,?,?,?,11,很少,?,?,有,?,cluster4
15,2,4,4,?,沒有,40,沒有,?,3,?,10,很少,無,無,?,無,cluster1
16,2,4.5,4,?,?,40,?,?,2,否,10,很少,無,半額,?,半額,cluster1
17,1,5,?,?,?,40,?,?,2,?,11,平均,?,?,有,?,cluster3
18,2,4.5,5.8,?,?,35,ret_allw,?,?,是,11,很少,?,全額,?,全額,cluster2
19,?,?,?,?,?,38,老闆控制,?,5,?,11,很多,有,半額,有,半額,cluster3
20,3,3.7,4,5,tc,?,?,?,?,是,?,?,?,?,有,?,cluster2
21,3,4.5,4.5,5,?,40,?,?,?,?,12,平均,?,半額,有,半額,cluster3
22,2,2,2.5,?,?,35,?,?,6,是,12,平均,?,?,?,?,cluster2
23,3,6.9,4.8,2.3,?,40,?,?,3,?,12,很少,?,?,?,?,cluster3
24,2,3,7,?,?,38,?,12,25,是,11,很少,有,半額,有,?,cluster2
25,3,3.5,4,4.6,沒有,36,?,?,3,?,13,很多,?,?,有,全額,cluster4
26,2,6.4,6.4,?,?,38,?,?,4,?,15,?,?,全額,?,?,cluster3
27,3,3.5,4,5.1,tcf,37,?,?,4,?,13,很多,?,全額,有,全額,cluster4
28,1,3,?,?,沒有,36,?,?,10,否,11,很多,?,?,?,?,cluster3
29,1,2.8,?,?,?,35,?,?,2,?,12,很少,?,?,?,?,cluster1
30,2,4,5,?,tcf,35,?,13,5,?,15,很多,?,?,?,?,cluster4
31,2,4.3,4.4,?,?,38,?,?,4,?,12,很多,?,全額,?,全額,cluster3
32,3,3.5,4,4.6,tcf,27,?,?,?,?,?,?,?,?,?,?,cluster4
33,2,4.5,4,?,?,40,?,?,4,?,10,很多,?,半額,?,全額,cluster3
34,1,6,?,?,?,38,?,8,3,?,9,很多,?,?,?,?,cluster3
35,2,4.5,4.5,?,tcf,?,?,?,?,是,10,很少,有,無,?,半額,cluster2
36,2,5,4,?,沒有,37,?,?,5,否,11,很少,有,全額,有,全額,cluster3
37,3,4.5,4.5,5,沒有,40,?,?,?,否,11,平均,?,半額,?,?,cluster3
38,2,4.5,4,?,沒有,40,?,?,4,?,12,平均,有,全額,有,半額,cluster3
39,2,4.5,4,?,沒有,40,?,?,5,?,11,平均,?,全額,有,全額,cluster3
40,2,4.6,4.6,?,tcf,38,?,?,?,?,?,?,有,半額,?,半額,cluster4
41,2,5.7,4.5,?,沒有,40,ret_allw,?,?,?,11,平均,有,全額,有,全額,cluster3
42,2,7,5.3,?,?,?,?,?,?,?,11,?,有,全額,?,?,cluster3
43,3,2,3,?,tcf,?,老闆控制,?,?,是,?,?,有,半額,有,?,cluster2
44,3,3.5,4,4.5,tcf,35,?,?,?,?,13,很多,?,?,有,全額,cluster4
45,3,5,4.4,?,沒有,38,老闆控制,10,6,?,11,很多,有,?,?,全額,cluster4
46,3,5,5,5,?,40,?,?,?,?,12,平均,?,半額,有,半額,cluster3
47,3,6,6,4,?,35,?,?,14,?,9,很多,有,全額,有,全額,cluster4
